instance,gap_mean,gap_std,low_mean,low_std,mem_mean,mem_std,sol_mean,sol_std,time_mean,time_std
inst_10_01_2,0.0,0.0,819.0,153.5599774246749,0.8000000000000002,1.1102230246251565e-16,819.0,153.5599774246749,0.0,0.0
inst_10_01_3,0.0,0.0,805.0,148.73018075248436,0.8000000000000002,1.1102230246251565e-16,805.0,148.73018075248436,0.0,0.0
inst_10_05_2,0.0,0.0,828.3333333333334,129.90338290009575,0.8333333333333334,0.04714045207910316,828.3333333333334,129.90338290009575,0.0,0.0
inst_10_05_3,0.0,0.0,810.0,116.37869220780924,0.8666666666666667,0.04714045207910316,810.0,116.37869220780924,0.0,0.0
inst_10_09_2,0.0,0.0,753.6666666666666,164.4350597922745,0.9,0.0,753.6666666666666,164.4350597922745,0.0,0.0
inst_10_09_3,0.0,0.0,730.0,161.35261592755992,0.9,0.0,730.0,161.35261592755992,0.0,0.0
inst_50_01_13,0.0,0.0,15742.666666666666,1653.4782194580678,96.10000000000001,6.103004724450627,15742.666666666666,1653.4782194580678,17.3,12.250714264890844
inst_50_01_2,0.0,0.0,18262.333333333332,1889.4191935324698,91.09999999999998,2.2226110770892835,18262.333333333332,1889.4191935324698,11.733333333333334,6.8665048524623415
inst_50_01_4,0.3,0.42426406871192857,15798.666666666666,1613.4975123074166,144.1,79.339439540916,15852.333333333334,1689.2507872492533,106.66666666666667,139.7478761516213
inst_50_01_6,0.0,0.0,15744.666666666666,1656.298148147113,95.7,7.034676017178518,15744.666666666666,1656.298148147113,20.733333333333334,16.598460437308304
inst_50_05_13,0.0,0.0,14210.666666666666,1965.3984046215387,99.09999999999998,6.265780079128219,14210.666666666666,1965.3984046215387,14.033333333333333,8.843955877069693
inst_50_05_2,0.0,0.0,15401.666666666666,2124.0251620187764,90.09999999999998,1.1860297916438156,15401.666666666666,2124.0251620187764,4.966666666666666,0.7717224601860151
inst_50_05_4,0.0,0.0,14239.666666666666,1970.1516580089858,102.89999999999999,12.88487485387421,14239.666666666666,1970.1516580089858,26.533333333333335,27.745550193779824
inst_50_05_6,0.0,0.0,14210.666666666666,1965.3984046215387,100.09999999999998,6.946941773183363,14210.666666666666,1965.3984046215387,15.333333333333334,10.305122782167883
inst_50_09_13,0.0,0.0,13814.666666666666,657.9160702973865,95.5,3.295451410656815,13814.666666666666,657.9160702973865,8.033333333333333,4.521307578811933
inst_50_09_2,0.0,0.0,14584.333333333334,929.539790553488,93.03333333333335,2.242518425540553,14584.333333333334,929.539790553488,4.133333333333334,0.44969125210773475
inst_50_09_4,0.0,0.0,13825.333333333334,666.1092669791913,103.80000000000001,14.94456422917711,13825.333333333334,666.1092669791913,16.4,15.94260539142416
inst_50_09_6,0.0,0.0,13814.666666666666,657.9160702973865,95.43333333333332,3.3209770985191827,13814.666666666666,657.9160702973865,7.633333333333333,4.2129430198958175
inst_100_01_12,2.3333333333333335,1.3572848714334886,52281.333333333336,1822.5469968029784,709.8333333333334,25.347496041138964,53530.0,1323.2628864540359,405.93333333333334,1.4613540144521961
inst_100_01_2,2.6666666666666665,2.604269997949948,61228.0,2550.9360373530862,848.6,72.16402612567192,62904.0,1941.6144485109978,342.9666666666667,77.86742294153284
inst_100_01_25,2.3333333333333335,1.3572848714334886,52281.333333333336,1822.5469968029784,709.8333333333334,25.347496041138964,53529.333333333336,1323.4793370338487,405.1666666666667,0.7586537784493997
inst_100_01_7,2.1666666666666665,0.7363574011458174,52272.666666666664,1790.8614934966045,716.4,11.230612924799189,53421.333333333336,1502.6031486131735,404.1333333333334,0.36817870057292207
inst_100_05_12,0.4666666666666666,0.3681787005729087,48542.0,3888.298685372134,760.1,55.786019754056646,48782.333333333336,4069.7695539455576,383.7,43.982344942791165
inst_100_05_2,0.0,0.0,54272.666666666664,6806.697943121091,803.4,34.5519898124551,54272.666666666664,6806.697943121091,132.4,40.06253445136324
inst_100_05_25,0.4666666666666666,0.3681787005729087,48542.0,3888.298685372134,760.1,55.786019754056646,48782.333333333336,4069.7695539455576,383.5666666666666,44.391015106913486
inst_100_05_7,0.5666666666666668,0.4027681991198191,48538.333333333336,3886.736448773215,760.6,55.60737361177921,48818.666666666664,4085.176237188414,383.2666666666667,43.981688108676416
inst_100_09_12,0.16666666666666666,0.23570226039551584,47627.333333333336,2117.9877766932987,830.3000000000001,34.45702637585935,47699.333333333336,2044.074416997146,274.6666666666667,103.10190212708116
inst_100_09_2,0.7666666666666666,1.0842303978193728,50135.333333333336,2265.421569794216,808.6,62.07753216744365,50513.333333333336,2112.181547331784,218.46666666666667,130.73090257811612
inst_100_09_25,0.16666666666666666,0.23570226039551584,47627.333333333336,2117.9877766932987,830.3000000000001,34.45702637585935,47699.333333333336,2044.074416997146,273.4666666666667,102.89095630272318
inst_100_09_7,0.16666666666666666,0.23570226039551584,47627.333333333336,2117.9877766932987,830.3000000000001,34.45702637585935,47699.333333333336,2044.074416997146,274.93333333333334,102.57775370691033
